      Z logage     M_ini           M_act      logL logTe   logG    mbol    U       B       V       R       I       J       H       K       int_IMF stage
	0.015200	10.0000	1.02012241	1.0189	0.4538	3.6980	3.7363	3.635	5.544	4.843	3.926	3.363	2.931	2.313	1.811	1.747	3.14620328	3
	0.015200	10.0000	1.02073431	1.0195	0.4746	3.6965	3.7098	3.584	5.518	4.804	3.881	3.315	2.880	2.256	1.750	1.685	3.14636397	3
	0.015200	10.0000	1.02195358	1.0206	0.5194	3.6938	3.6547	3.472	5.451	4.716	3.782	3.209	2.769	2.135	1.620	1.555	3.14668322	3
	0.015200	10.0000	1.02294552	1.0216	0.5612	3.6921	3.6065	3.367	5.372	4.626	3.685	3.108	2.665	2.025	1.505	1.439	3.14694262	3
	0.015200	10.0000	1.02389729	1.0225	0.6052	3.6907	3.5574	3.257	5.281	4.527	3.582	3.002	2.556	1.910	1.386	1.320	3.14719081	3
	0.015200	10.0000	1.02496135	1.0236	0.6594	3.6893	3.4978	3.121	5.165	4.403	3.453	2.871	2.422	1.770	1.242	1.175	3.14746761	3
	0.015200	10.0000	1.02576447	1.0244	0.7042	3.6882	3.4489	3.010	5.073	4.303	3.346	2.762	2.310	1.655	1.123	1.056	3.14767623	3
	0.015200	10.0000	1.02646077	1.0250	0.7460	3.6871	3.4033	2.905	4.987	4.209	3.247	2.660	2.206	1.547	1.012	0.945	3.14785671	3
	0.015200	10.0000	1.02712047	1.0256	0.7887	3.6861	3.3566	2.798	4.899	4.114	3.146	2.556	2.099	1.437	0.899	0.831	3.14802766	3
	0.015200	10.0000	1.02773678	1.0262	0.8318	3.6849	3.3091	2.690	4.812	4.018	3.044	2.451	1.992	1.325	0.784	0.716	3.14818692	3
	0.015200	10.0000	1.02827334	1.0267	0.8722	3.6838	3.2643	2.589	4.732	3.929	2.948	2.353	1.891	1.220	0.676	0.607	3.14832544	3
	0.015200	10.0000	1.02881002	1.0272	0.9160	3.6825	3.2156	2.480	4.648	3.833	2.846	2.247	1.782	1.106	0.558	0.489	3.14846396	3
	0.015200	10.0000	1.02941430	1.0278	0.9699	3.6807	3.1549	2.345	4.546	3.716	2.720	2.116	1.648	0.965	0.412	0.343	3.14861965	3
	0.015200	10.0000	1.02984083	1.0282	1.0116	3.6793	3.1077	2.241	4.471	3.628	2.624	2.016	1.545	0.856	0.299	0.229	3.14872956	3
	0.015200	10.0000	1.03021932	1.0285	1.0518	3.6778	3.0617	2.141	4.402	3.544	2.532	1.920	1.445	0.751	0.189	0.118	3.14882684	3
	0.015200	10.0000	1.03057218	1.0288	1.0919	3.6763	3.0155	2.040	4.334	3.461	2.441	1.824	1.346	0.646	0.079	0.007	3.14891744	3
	0.015200	10.0000	1.03098917	1.0291	1.1435	3.6742	2.9557	1.911	4.248	3.354	2.324	1.702	1.218	0.510	-0.063	-0.135	3.14902472	3
	0.015200	10.0000	1.03136027	1.0294	1.1944	3.6720	2.8963	1.784	4.165	3.250	2.209	1.581	1.093	0.376	-0.203	-0.277	3.14911985	3
	0.015200	10.0000	1.03162611	1.0296	1.2342	3.6703	2.8495	1.684	4.101	3.168	2.120	1.486	0.995	0.271	-0.314	-0.388	3.14918804	3
	0.015200	10.0000	1.03192866	1.0298	1.2833	3.6680	2.7915	1.562	4.026	3.071	2.012	1.371	0.874	0.143	-0.450	-0.526	3.14926553	3
	0.015200	10.0000	1.03221631	1.0300	1.3342	3.6656	2.7311	1.435	3.950	2.971	1.900	1.252	0.750	0.009	-0.591	-0.669	3.14933920	3
	0.015200	10.0000	1.03247488	1.0302	1.3837	3.6631	2.6719	1.311	3.879	2.874	1.792	1.137	0.628	-0.122	-0.729	-0.809	3.14940524	3
	0.015200	10.0000	1.03271258	1.0303	1.4319	3.6607	2.6138	1.190	3.810	2.780	1.686	1.025	0.510	-0.250	-0.864	-0.945	3.14946628	3
	0.015200	10.0000	1.03294635	1.0304	1.4794	3.6582	2.5565	1.072	3.746	2.690	1.584	0.915	0.395	-0.375	-0.998	-1.080	3.14952588	3
	0.015200	10.0000	1.03326666	1.0305	1.5243	3.6559	2.5026	0.959	3.685	2.605	1.488	0.812	0.286	-0.493	-1.123	-1.207	3.14960790	3
	0.015200	10.0000	1.03349173	1.0305	1.4834	3.6587	2.5545	1.061	3.724	2.674	1.570	0.903	0.384	-0.384	-1.005	-1.087	3.14966536	3
	0.015200	10.0000	1.03359044	1.0306	1.4514	3.6608	2.5948	1.142	3.758	2.730	1.636	0.976	0.462	-0.298	-0.912	-0.993	3.14969039	3
	0.015200	10.0000	1.03363347	1.0306	1.4629	3.6602	2.5808	1.113	3.743	2.709	1.612	0.949	0.434	-0.328	-0.945	-1.026	3.14970136	3
	0.015200	10.0000	1.03382349	1.0307	1.5126	3.6574	2.5201	0.988	3.680	2.616	1.506	0.835	0.313	-0.460	-1.085	-1.168	3.14974999	3
	0.015200	10.0000	1.03400481	1.0307	1.5613	3.6547	2.4606	0.867	3.632	2.531	1.405	0.724	0.194	-0.589	-1.223	-1.308	3.14979625	3
	0.015200	10.0000	1.03416955	1.0307	1.6084	3.6520	2.4027	0.749	3.592	2.452	1.306	0.616	0.079	-0.715	-1.357	-1.443	3.14983821	3
	0.015200	10.0000	1.03432178	1.0307	1.6553	3.6493	2.3449	0.632	3.555	2.374	1.209	0.509	-0.036	-0.841	-1.490	-1.578	3.14987707	3
	0.015200	10.0000	1.03446257	1.0306	1.7023	3.6464	2.2866	0.514	3.522	2.298	1.114	0.403	-0.150	-0.966	-1.624	-1.714	3.14991283	3
	0.015200	10.0000	1.03458941	1.0305	1.7483	3.6436	2.2292	0.399	3.493	2.225	1.022	0.300	-0.262	-1.089	-1.755	-1.847	3.14994526	3
	0.015200	10.0000	1.03470612	1.0304	1.7943	3.6408	2.1718	0.284	3.465	2.152	0.929	0.197	-0.373	-1.212	-1.886	-1.981	3.14997482	3
