     WAVE 	               FLUX	
     3047.600000	      168200.000000	
     3047.900000	      175500.000000	
     3048.200000	      193500.000000	
     3048.500000	      218400.000000	
     3048.800000	      245500.000000	
     3049.100000	      270000.000000	
     3049.400000	      289100.000000	
     3049.700000	      303000.000000	
     3050.000000	      315300.000000	
     3050.300000	      332000.000000	
     3050.600000	      359500.000000	
     3050.900000	      401200.000000	
     3051.200000	      455600.000000	
     3051.500000	      515700.000000	
     3051.800000	      570000.000000	
     3052.100000	      606500.000000	
     3052.400000	      616000.000000	
     3052.700000	      595600.000000	
     3053.000000	      549700.000000	
     3053.300000	      488400.000000	
     3053.600000	      424200.000000	
     3053.900000	      368300.000000	
     3054.200000	      327800.000000	
     3054.500000	      304600.000000	
     3054.800000	      295700.000000	
     3055.100000	      295100.000000	
     3055.400000	      296000.000000	
     3055.700000	      292600.000000	
     3056.000000	      281400.000000	
     3056.300000	      261700.000000	
     3056.600000	      235400.000000	
     3056.900000	      205900.000000	
     3057.200000	      177100.000000	
     3057.500000	      152400.000000	
     3057.800000	      134000.000000	
     3058.100000	      123300.000000	
     3058.400000	      120500.000000	
     3058.700000	      126200.000000	
     3059.000000	      141300.000000	
     3059.300000	      166400.000000	
     3059.600000	      202000.000000	
     3059.900000	      248100.000000	
     3060.200000	      303400.000000	
     3060.500000	      365600.000000	
     3060.800000	      430800.000000	
     3061.100000	      494300.000000	
     3061.400000	      550500.000000	
     3061.700000	      593600.000000	
     3062.000000	      618100.000000	
     3062.300000	      620100.000000	
     3062.600000	      598600.000000	
     3062.900000	      556500.000000	
     3063.200000	      501100.000000	
     3063.500000	      442000.000000	
     3063.800000	      389500.000000	
     3064.100000	      350900.000000	
     3064.400000	      329100.000000	
     3064.700000	      321300.000000	
     3065.000000	      320600.000000	
     3065.300000	      319000.000000	
     3065.600000	      310300.000000	
     3065.900000	      291800.000000	
     3066.200000	      265500.000000	
     3066.500000	      237400.000000	
     3066.800000	      214800.000000	
     3067.100000	      204300.000000	
     3067.400000	      210800.000000	
     3067.700000	      235700.000000	
     3068.000000	      278400.000000	
     3068.300000	      335300.000000	
     3068.600000	      400800.000000	
     3068.900000	      469700.000000	
     3069.200000	      537200.000000	
     3069.500000	      600500.000000	
     3069.800000	      659000.000000	
     3070.100000	      712800.000000	
     3070.400000	      760900.000000	
     3070.700000	      801400.000000	
     3071.000000	      830100.000000	
     3071.300000	      843200.000000	
     3071.600000	      838900.000000	
     3071.900000	      819000.000000	
     3072.200000	      788900.000000	
     3072.500000	      754700.000000	
     3072.800000	      721300.000000	
     3073.100000	      690500.000000	
     3073.400000	      660800.000000	
     3073.700000	      629200.000000	
     3074.000000	      593600.000000	
     3074.300000	      554400.000000	
     3074.600000	      514700.000000	
     3074.900000	      480700.000000	
     3075.200000	      459400.000000	
     3075.500000	      457100.000000	
     3075.800000	      476400.000000	
     3076.100000	      514300.000000	
     3076.400000	      563200.000000	
     3076.700000	      613000.000000	
     3077.000000	      653200.000000	
     3077.300000	      676900.000000	
     3077.600000	      683200.000000	
     3077.900000	      675300.000000	
     3078.200000	      659900.000000	
     3078.500000	      643000.000000	
     3078.800000	      628000.000000	
     3079.100000	      614300.000000	
     3079.400000	      598500.000000	
     3079.700000	      576400.000000	
     3080.000000	      545000.000000	
     3080.300000	      503900.000000	
     3080.600000	      455200.000000	
     3080.900000	      403700.000000	
     3081.200000	      354100.000000	
     3081.500000	      311600.000000	
     3081.800000	      279500.000000	
     3082.100000	      260600.000000	
     3082.400000	      255700.000000	
     3082.700000	      264900.000000	
     3083.000000	      288700.000000	
     3083.300000	      328500.000000	
     3083.600000	      385300.000000	
     3083.900000	      459800.000000	
     3084.200000	      550500.000000	
     3084.500000	      652600.000000	
     3084.800000	      756700.000000	
     3085.100000	      851000.000000	
     3085.400000	      921800.000000	
     3085.700000	      957900.000000	
     3086.000000	      953700.000000	
     3086.300000	      911800.000000	
     3086.600000	      842300.000000	
     3086.900000	      760300.000000	
     3087.200000	      681200.000000	
     3087.500000	      616500.000000	
     3087.800000	      571200.000000	
     3088.100000	      543100.000000	
     3088.400000	      525000.000000	
     3088.700000	      507600.000000	
     3089.000000	      483000.000000	
     3089.300000	      447700.000000	
     3089.600000	      403000.000000	
     3089.900000	      353800.000000	
     3090.200000	      305200.000000	
     3090.500000	      261800.000000	
     3090.800000	      225900.000000	
     3091.100000	      198100.000000	
     3091.400000	      177500.000000	
     3091.700000	      163300.000000	
     3092.000000	      154600.000000	
     3092.300000	      151800.000000	
     3092.600000	      155200.000000	
     3092.900000	      165700.000000	
     3093.200000	      183000.000000	
     3093.500000	      205900.000000	
     3093.800000	      232000.000000	
     3094.100000	      258100.000000	
     3094.400000	      280900.000000	
     3094.700000	      297400.000000	
     3095.000000	      305900.000000	
     3095.300000	      305900.000000	
     3095.600000	      298700.000000	
     3095.900000	      286900.000000	
     3096.200000	      274100.000000	
     3096.500000	      263800.000000	
     3096.800000	      258400.000000	
     3097.100000	      258000.000000	
     3097.400000	      260500.000000	
     3097.700000	      262200.000000	
     3098.000000	      259300.000000	
     3098.300000	      249300.000000	
     3098.600000	      231700.000000	
     3098.900000	      208200.000000	
     3099.200000	      182200.000000	
     3099.500000	      157200.000000	
     3099.800000	      136400.000000	
     3100.100000	      122400.000000	
     3100.400000	      116600.000000	
